,Unnamed: 0,question,answer,context,mostUse,Newquestion
465,465,What themes were influenced by her acting role in Dreamgirls?,feminism and female empowerment,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
466,466,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Josephine Baker,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
467,467,Who motivated Beyonce to explore other areas of music?,Etta James,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
468,468,What movie influenced Beyonce towards empowerment themes? ,Dreamgirls,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
469,469,How did Etta James influence her?,boldness,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
470,470,Where did she perform wearing Baker's hula skirt?,2006 Fashion Rocks concert,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
471,471,What singer inspired Beyoncé's B'Day album?,Josephine Baker.,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
472,472,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,Déjà Vu,feminism female empowerment themes **beyoncé** second solo album inspired role dreamgirls singer josephine baker **beyoncé** paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas **beyoncé** third solo album sasha fierce inspired especially etta james whose boldness inspired **beyoncé** explore musical genres styles fourth solo album inspired fela kuti earth wind fire debarge lionel richie teena marie additional influences jackson edition adele florence machine prince,"('beyoncé', 4)","('Which album inspired feminism female empowerment themes?', 'beyoncé [TGT] second solo album inspired role dreamgirls singer josephine baker [TGT] beyoncé [TGT] paid homage baker performing déjà fashion rocks concert wearing baker trademark mini hula skirt embellished fake bananas [TGT] beyoncé [TGT] third solo album sasha fierce inspired especially etta james whose boldness inspired [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
473,473,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",Michelle Obama,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
474,474,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,February 2013,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
475,475,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",Oprah Winfrey,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
476,476,Who personally influences Beyonce?,Michelle Obama,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
477,477,Hoe does she describe Oprah Winfrey?,a strong woman,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
478,478,How does she describe Jean- Michel Basquiat?,lyrical and raw,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
479,479,How does Madonna influence her?,to take control of her own career,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
480,480,How does she describe Jay Z?,continuing inspiration,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
481,481,"Who inspires Beyoncé because ""she does it all?""",First Lady Michelle Obama,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
482,482,Who does Beyoncé describe as the definition of inspiration?,Oprah Winfrey,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
483,483,Who does Beyoncé describe as lyrical and raw?,Jean-Michel Basquiat,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
484,484,Who inspired Beyoncé to take control of her career?,Madonna,**beyoncé** stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life **beyoncé** expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february **beyoncé** said madonna inspired take control career commented think madonna took great things achieved started label developed artists enough women,"('beyoncé', 3)","('Who did beyoncé express admiration for?', 'beyoncé [TGT] stated personally inspired first lady michelle obama saying proves described oprah winfrey definition inspiration strong woman also discussed continuing inspiration describes lyrical genius obstacles overcome life [TGT] beyoncé [TGT] expressed admiration artist jean michel basquiat posting letter find work jean michel basquiat search every music lyrical february [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
485,485,Beyonce had an all-female tour band whose name was what?,Suga Mama,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
486,486,Beyonce had singers in the background known by the name as?,The Mamas,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
487,487,The Mamas members included which 3 musicians?,"Montina Cooper-Donnell, Crystal Collins and Tiffany Moniqué Riddick",beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
488,488,The Mamas first appearance was when?,2006,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
489,489,What band did Beyonce introduce in 2006?,Suga Mama,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
490,490,What song name does the band Suga Mama  and a song on the B'Day album share?,Suga Mama,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
491,491,Where did Suga Mama band make their first appearance?,2006 BET Awards,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
492,492,What band supports Beyonce in her tours?,Suga Mama,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
493,493,What is the name of Beyoncé's female tour band?,Suga Mama,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
494,494,Suga Mama is also a song on which Beyoncé album?,B'Day,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
495,495,What are Beyoncé's backup singers called?,The Mamas,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
496,496,When did The Mamas make their debut?,the 2006 BET Awards,beyoncé introduced female **tour** band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert **tour** beyoncé experience world **tour** carter show world **tour**,"('tour', 4)","('What is the name of the female tour band supported by beyonce?', 'tour [TGT] band suga mama also name song includes bassists drummers guitarists horn players keyboardists percussionists background singers mamas consist montina cooper donnell crystal collins tiffany moniqué riddick made debut appearance awards appeared music videos irreplaceable green light band supported beyoncé subsequent live performances including concert [TGT] tour [TGT] beyoncé experience world [TGT] tour [TGT] carter show world [TGT] tour', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
497,497,What characteristics has Beyonce received acclaim for?,stage presence and voice,**beyoncé** received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian **beyoncé** charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described **beyoncé** greatest entertainer alive farber daily news stephanie classen star phoenix praised strong voice stage presence,"('beyoncé', 3)","('What did barbara ellen guardian say about beyonce?', 'beyoncé [TGT] received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian [TGT] beyoncé [TGT] charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
498,498,Which former president of Def Jam called Beyonce the greatest entertainer alive?,L.A. Reid,**beyoncé** received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian **beyoncé** charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described **beyoncé** greatest entertainer alive farber daily news stephanie classen star phoenix praised strong voice stage presence,"('beyoncé', 3)","('What did barbara ellen guardian say about beyonce?', 'beyoncé [TGT] received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian [TGT] beyoncé [TGT] charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
499,499,For what does Beyonce receive praise?,stage presence,**beyoncé** received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian **beyoncé** charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described **beyoncé** greatest entertainer alive farber daily news stephanie classen star phoenix praised strong voice stage presence,"('beyoncé', 3)","('What did barbara ellen guardian say about beyonce?', 'beyoncé [TGT] received praise stage presence voice live performances jarett wieselman york post placed number list five best singer dancers according barbara ellen guardian [TGT] beyoncé [TGT] charge female artist seen onstage alice jones independent wrote takes role entertainer seriously almost good president reid described [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
