,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
96,"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",source plankton,waste plankton,land plankton,marine plankton,**diatoms** unicellular photosynthetic protists encase intricately patterned glassy cell walls composed silicon dioxide matrix organic particles figure protists component freshwater marine plankton species **diatoms** reproduce asexually although instances sexual reproduction sporulation also exist **diatoms** exhibit slit silica shell called raphe expelling stream mucopolysaccharides raphe diatom attach surfaces propel direction,"('diatoms', 3)","('What do diatoms reproduce asexually?', 'diatoms [TGT] unicellular photosynthetic protists encase intricately patterned glassy cell walls composed silicon dioxide matrix organic particles figure protists component freshwater marine plankton species [TGT] diatoms [TGT] reproduce asexually although instances sexual reproduction sporulation also exist [TGT] diatoms', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do diatoms reproduce asexually?,diatoms  unicellular photosynthetic protists encase intricately patterned glassy cell walls composed silicon dioxide matrix organic particles figure protists component freshwater marine plankton species  diatoms  reproduce asexually although instances sexual reproduction sporulation also exist  diatoms
97,What type of reactions form compounds?,physical reactions,mineral reactions,consumption reactions,chemical reactions,compound unique substance forms elements combine chemically **compounds** form result chemical reactions elements **compounds** held together chemical bonds chemical bond force attraction atoms ions share transfer valence electrons video introduction **compounds** http youtube watch hjmotthez0,"('compounds', 3)","('What do compounds form result chemical reactions elements?', 'compounds [TGT] form result chemical reactions elements [TGT] compounds [TGT] held together chemical bonds chemical bond force attraction atoms ions share transfer valence electrons video introduction [TGT] compounds', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do compounds form result chemical reactions elements?,compounds  form result chemical reactions elements  compounds  held together chemical bonds chemical bond force attraction atoms ions share transfer valence electrons video introduction  compounds
98,"Millions of years ago, plants used energy from the sun to form what?",greenhouse gases,fossil fuels,evolution,carbon compounds,fossil fuels include coal natural fossil fuels greatest energy source modern society millions **years** plants used energy form carbon compounds compounds later transformed coal natural fossil fuels take millions **years** form reason renewable fossil fuels matter decades burning fossil fuels releases large amounts pollution important greenhouse carbon dioxide,"('years', 2)","('How long does it take for plants to transform coal natural fossil fuels?', 'years [TGT] plants used energy form carbon compounds compounds later transformed coal natural fossil fuels take millions [TGT] years', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How long does it take for plants to transform coal natural fossil fuels?,years  plants used energy form carbon compounds compounds later transformed coal natural fossil fuels take millions  years
99,What is the term for the process in which living things with beneficial traits produce more offspring than others do?,natural variety,natural process,natural survival,natural selection,idea evolution occurs **natural** selection **natural** selection process living things beneficial traits produce offspring others results changes traits living things time,"('natural', 2)","('How does idea evolution occur?', 'natural [TGT] selection [TGT] natural', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How does idea evolution occur?,natural  selection  natural
100,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",homogeneity,saturation,peak,equilibrium,amount reactants products equal however equilibrium **attained** amounts reactants products constant,"('attained', 1)","('At what point is equilibrium reached?', 'attained', ['Word not found in Wordnet. So unable to extract distractors.'], None)",At what point is equilibrium reached?,attained
101,What protects a developing flower while it is still a bud?,lobes,shell,petals,sepals,**sepals** protect developing flower still **sepals** usually green camouflages possible consumers,"('sepals', 2)","('What protects developing flower still sepals?', 'sepals [TGT] protect developing flower still [TGT] sepals', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What protects developing flower still sepals?,sepals  protect developing flower still  sepals
102,What is the term for the force of attraction between things that have a mass?,magnetism,weight,motion,gravity,**gravity** traditionally defined force attraction things mass according conception **gravity** anything mass matter small exerts **gravity** matter **gravity** objects even touching fact **gravity** long distances however farther objects weaker force **gravity** less massive objects also less **gravity** massive objects,"('gravity', 7)","('What is gravity traditionally defined force attraction things mass according conception?', 'gravity [TGT] traditionally defined force attraction things mass according conception [TGT] gravity [TGT] anything mass matter small exerts [TGT] gravity [TGT] matter [TGT] gravity [TGT] objects even touching fact [TGT] gravity [TGT] long distances however farther objects weaker force [TGT] gravity [TGT] less massive objects also less [TGT] gravity', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is gravity traditionally defined force attraction things mass according conception?,gravity  traditionally defined force attraction things mass according conception  gravity  anything mass matter small exerts  gravity  matter  gravity  objects even touching fact  gravity  long distances however farther objects weaker force  gravity  less massive objects also less  gravity
103,"What are the long, thin protein extensions in most prokaryotic cells called?",neutrons,analyte,cingulum,flagellum,,none,,,
104,Dialysis is a treatment for failure of what organs?,spleen,lungs,liver,kidneys,kidney failure **treated** dialysis,"('treated', 1)","('What is dialysis?', 'treated', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is dialysis?,treated
105,What preventive measure can protect even young children against diseases such as viral meningitis?,malnutrition,nutrition,surgical intervention,vaccination,children young **years** vaccinated viral meningitis,"('years', 1)","('How old are children vaccinated against viral meningitis?', 'years', ['Adolescence', 'Adulthood', 'Age', 'Bachelorhood', 'Bloom', 'Childhood', 'Deathbed', 'Eighties', 'Fifties', 'Forties', 'Golden Years', 'Infancy', 'Middle Age', 'Neonatal Period', 'Nineties', 'Old Age', 'Prepuberty', 'Puberty', 'Schooldays', 'Seventies', 'Sixties', 'Summer', 'Teens', 'Thirties', 'Twenties', 'Widowhood', 'Youth'], 'a late time of life')",How old are children vaccinated against viral meningitis?,years
106,Renal plasma flow equals the blood flow per minute times the what?,hemoglobin,erythrocytes,leukocytes,hematocrit,renal plasma flow equals blood flow minute **times** hematocrit person hematocrit renal plasma flow percent plasma,"('times', 1)","('How many times does renal plasma flow equal blood flow?', 'times', ['Humiliation', 'Piece', 'Time'], 'an instance or single occasion for some event')",How many times does renal plasma flow equal blood flow?,times
107,What does lattice energy of an ionic solid measure the strength of?,electrons,metals,atoms,bonds,**lattice** energy ionic solid measure strength bonds ionic compound,"('lattice', 1)","('What type of energy is ionic solid?', 'lattice', ['Calendar', 'Classification System', 'Contrivance', 'Coordinate System', 'Data Structure', 'Design', 'Distribution', 'Genetic Map', 'Kinship System', 'Living Arrangement', 'Ontology'], 'an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions')",What type of energy is ionic solid?,lattice
108,How many different types of taste can be detected by taste buds?,hundreds,three,two,five,,none,,,
109,What species do humans belong to?,monkeys,homo erectus,hominids,homo sapiens,**homo** sapiens species originated years africa evidence spiritual life appears years evidence includes stone figurines probably religious significance figure,"('homo', 1)","('What sapiens species originated years africa evidence spiritual life appears years?', 'homo', ['Australopithecine', 'Dryopithecine', 'Javanthropus', 'Pithecanthropus', 'Sinanthropus', 'Sivapithecus'], 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage')",What sapiens species originated years africa evidence spiritual life appears years?,homo
110,Titration is a method to determine what in acids or bases?,glucose,alkalinity,maturation,concentration,concentration acid base **determined** titration,"('determined', 1)","('How is concentration acid base determined?', 'determined', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How is concentration acid base determined?,determined
111,How many different amino acids make up proteins.,30,14,25,20,**amino** acids make proteins three bases codon possible codons enough code **amino** acids plus start stop signals translate genetic code figure start center chart first base three base codon work center second third bases,"('amino', 2)","('What amino acids make proteins three bases codons possible?', 'amino [TGT] acids make proteins three bases codon possible codons enough code [TGT] amino', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What amino acids make proteins three bases codons possible?,amino  acids make proteins three bases codon possible codons enough code  amino
112,What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,hernia,lesions,clots,ulcers,ulcers sores lining stomach duodenum usually caused **bacterial** infections also caused acidic environment stomach stomach acids damage lining stomach symptoms typically include abdominal pain bleeding stomach ulcers develop link http youtube watch,"('bacterial', 1)","('What type of infections are ulcers sores usually caused by?', 'bacterial', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of infections are ulcers sores usually caused by?,bacterial
113,"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual process,distributive selection,similar selection,sexual selection,,none,,,
114,What structure is made from dna and protein molecules coiled together?,atoms,bacterium,enzymes,chromosome,cell prepares divide first **forms** structures called chromosomes chromosome consists protein molecules coiled definite shape chromosomes circular prokaryotes rodlike eukaryotes example human chromosome figure rest time looks like tangled mass strings form would difficult copy divide,"('forms', 1)","('What do cell prepares divide first?', 'forms', ['Adapid', 'Amentiferae', 'Centrospermae', 'Class', 'Family', 'Form', 'Genus', 'Kingdom', 'Monotype', 'Omomyid', 'Order', 'Phycomycetes', 'Phylum', 'Pteridospermae', 'Species', 'Subclass', 'Subfamily', 'Subgenus', 'Subkingdom', 'Suborder', 'Subphylum', 'Subspecies', 'Superclass', 'Superfamily', 'Superorder', 'Superphylum', 'Tribe', 'Type', 'Variety'], '(biology) a group of organisms within a species that differ in trivial ways from similar groups')",What do cell prepares divide first?,forms
115,What renewable energy source converts energy from the sunlight into electricity?,hydrostatic energy,geophysical energy,geothermal energy,solar energy,less **energy** needed renewable **energy** sources solar **energy** good example sunlight everywhere needs find drill pump surface need install solar panels like ones figure sunlight strike **energy** sunlight changed electricity electricity used power lights appliances house solar **energy** transported,"('energy', 5)","('What does TGT stand for?', 'energy [TGT] needed renewable [TGT] energy [TGT] sources solar [TGT] energy [TGT] good example sunlight everywhere needs find drill pump surface need install solar panels like ones figure sunlight strike [TGT] energy [TGT] sunlight changed electricity electricity used power lights appliances house solar [TGT] energy', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,energy  needed renewable  energy  sources solar  energy  good example sunlight everywhere needs find drill pump surface need install solar panels like ones figure sunlight strike  energy  sunlight changed electricity electricity used power lights appliances house solar  energy
116,"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?",biceps,triceps,humerus,ulnar,arteries serving upper limbs subclavian **artery** exits thorax axillary region renamed axillary **artery** although branch supply blood region near head humerus humeral circumflex arteries majority vessel continues upper brachium becomes brachial **artery** figure brachial **artery** supplies blood much brachial region divides elbow several smaller branches including deep brachial arteries provide blood posterior surface ulnar collateral arteries supply blood region elbow brachial **artery** approaches coronoid fossa bifurcates radial ulnar arteries continue forearm antebrachium radial **artery** ulnar **artery** parallel namesake bones giving smaller branches reach wrist carpal region level fuse form superficial deep palmar arches supply blood hand well digital arteries supply blood digits figure shows distribution systemic arteries heart upper limb table summarizes arteries serving upper limbs,"('artery', 7)","('Which artery exits thorax axillary region?', 'artery [TGT] exits thorax axillary region renamed axillary [TGT] artery [TGT] although branch supply blood region near head humerus humeral circumflex arteries majority vessel continues upper brachium becomes brachial [TGT] artery [TGT] figure brachial [TGT] artery [TGT] supplies blood much brachial region divides elbow several smaller branches including deep brachial arteries provide blood posterior surface ulnar collateral arteries supply blood region elbow brachial [TGT] artery [TGT] approaches coronoid fossa bifurcates radial ulnar arteries continue forearm antebrachium radial [TGT] artery [TGT] ulnar [TGT] artery', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Which artery exits thorax axillary region?,artery  exits thorax axillary region renamed axillary  artery  although branch supply blood region near head humerus humeral circumflex arteries majority vessel continues upper brachium becomes brachial  artery  figure brachial  artery  supplies blood much brachial region divides elbow several smaller branches including deep brachial arteries provide blood posterior surface ulnar collateral arteries supply blood region elbow brachial  artery  approaches coronoid fossa bifurcates radial ulnar arteries continue forearm antebrachium radial  artery  ulnar  artery
117,The bones of the skull are connected by what type of joints?,adjustable,semi-mobile,pivoting,immovable,immovable joints allow **movement** bones joints held securely together dense collagen bones skull connected immovable joints,"('movement', 1)","('What do immovable joints allow?', 'movement', ['About-face', 'Adulteration', 'Alteration', 'Change Of Direction', 'Change Of Integrity', 'Change Of Magnitude', 'Change Of Shape', 'Change Of State', 'Communization', 'Conversion', 'Decimalization', 'Demotion', 'Diversification', 'Downshift', 'Entail', 'Filtration', 'Flux', 'Metrification', 'Motion', 'Move', 'Nationalization', 'Promotion', 'Reduction', 'Rollover', 'Satisfaction', 'Secularization', 'Substitution', 'Switch', 'Turning', 'Updating', 'Variation'], 'a change of position that does not entail a change of location')",What do immovable joints allow?,movement
118,What is the lowest layer of the atmosphere?,lithosphere,ionosphere,chromosphere,troposphere,troposphere lowest **layer** atmosphere breathe troposphere earth weather wind rain snow heat troposphere troposphere lowest important **layer** atmosphere,"('layer', 2)","('What is the lowest important layer of atmosphere?', 'layer [TGT] atmosphere breathe troposphere earth weather wind rain snow heat troposphere troposphere lowest important [TGT] layer', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the lowest important layer of atmosphere?,layer  atmosphere breathe troposphere earth weather wind rain snow heat troposphere troposphere lowest important  layer
119,What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,bundle sheth cell,cuticle,guard cell,meristem,continued **growth** repair plant cells meristem meristem type plant tissue consisting undifferentiated cells continue divide differentiate meristem tips roots stems allows grow length called primary **growth** meristem within around vascular tissues allows **growth** width called secondary **growth**,"('growth', 4)","('What is meristem within around vascular tissues called?', 'growth [TGT] repair plant cells meristem meristem type plant tissue consisting undifferentiated cells continue divide differentiate meristem tips roots stems allows grow length called primary [TGT] growth [TGT] meristem within around vascular tissues allows [TGT] growth [TGT] width called secondary [TGT] growth', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is meristem within around vascular tissues called?,growth  repair plant cells meristem meristem type plant tissue consisting undifferentiated cells continue divide differentiate meristem tips roots stems allows grow length called primary  growth  meristem within around vascular tissues allows  growth  width called secondary  growth
120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,blood,ancestors,skeletons,excretions,phosphorus cycle phosphorus essential **nutrient** living processes major component nucleic acids phospholipids calcium phosphate makes supportive components bones phosphorus often limiting **nutrient** necessary growth aquatic particularly freshwater ecosystems phosphorus occurs nature phosphate po43 addition phosphate runoff result human activity natural surface runoff occurs leached phosphate containing rock weathering thus sending phosphates rivers lakes ocean rock origins ocean phosphate containing ocean sediments form primarily bodies ocean organisms excretions however volcanic aerosols mineral dust also significant phosphate sources sediment moved land geologic time uplifting earth surface figure phosphorus also reciprocally exchanged phosphate dissolved ocean marine organisms movement phosphate ocean land soil extremely slow average phosphate oceanic residence time years,"('nutrient', 2)","('What is phosphorus essential?', 'nutrient [TGT] living processes major component nucleic acids phospholipids calcium phosphate makes supportive components bones phosphorus often limiting [TGT] nutrient', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is phosphorus essential?,nutrient  living processes major component nucleic acids phospholipids calcium phosphate makes supportive components bones phosphorus often limiting  nutrient
121,What does erosion do to pieces of broken rock?,Cancel Them,lead them,Smooth them,moves them,erosion moves pieces **broken** rock,"('broken', 1)","('What type of rock is moved by erosion?', 'broken', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of rock is moved by erosion?,broken
122,The passing of traits from parents to offspring is done through what?,blood,sperm,egg,dna,genetics study inheritance inheritance **passing** traits parents offspring traits passed genetic material organisms concept focus genetics inheritance,"('passing', 1)","('What type of traits do parents offspring pass on to their children?', 'passing', ['Endgame', 'Homestretch'], 'the end of something')",What type of traits do parents offspring pass on to their children?,passing
123,In a glass of sweet tea the sugar is known as the solute and the water is known as what?,calcium,pigment,solid,solvent,like tanya picture prefer iced sweetened sugar sweetened iced solution solid sugar solute dissolved cold liquid mostly water solvent sugar **particles** water pull apart **particles** sugar **particles** sugar spread throughout making taste sweet,"('particles', 3)","('What does water pull apart?', 'particles [TGT] water pull apart [TGT] particles [TGT] sugar [TGT] particles', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does water pull apart?,particles  water pull apart  particles  sugar  particles
124,"A few earthquakes take place away from plate boundaries, these are called what?",distant earthquakes,outer earthquakes,deformation earthquakes,intraplate earthquakes,remaining scattered around plate boundaries earthquakes **take** place away plate boundaries intraplate earthquakes,"('take', 1)","('What happens to remaining scattered around plate boundaries?', 'take', ['Animation'], 'the act of photographing a scene or part of a scene without interruption')",What happens to remaining scattered around plate boundaries?,take
125,Red litmus paper turns what color when placed in a basic solution?,pink,white,orange,blue,litmus **paper** turns blue placed basic solution,"('paper', 1)","('What material turns blue when litmus is placed?', 'paper', ['Abrasive', 'Adhesive Material', 'Aggregate', 'Ammunition', 'Animal Material', 'Atom', 'Ballast', 'Bedding Material', 'Bimetal', 'Builder', 'Chemical', 'Coloring Material', 'Composite Material', 'Conductor', 'Contaminant', 'Detritus', 'Diamagnet', 'Discharge', 'Dust', 'Earth', 'Elastomer', 'Fiber', 'Filling', 'Floccule', 'Fluff', 'Foam', 'Hazmat', 'Homogenate', 'Humate', 'Impregnation', 'Insulator', 'Mineral', 'Packing Material', 'Particulate', 'Plant Material', 'Precursor', 'Radioactive Material', 'Raw Material', 'Rind', 'Rock', 'Sealing Material', 'Sorbate', 'Sorbent', 'Thickening', 'Toner', 'Transparent Substance', 'Undercut', 'Vernix', 'Wad', 'Waste'], 'a material made of cellulose pulp derived mainly from wood or rags or certain grasses')",What material turns blue when litmus is placed?,paper
126,The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?,overcharge,resistance,excess,overpotential,occur electrolytic cells introducing power supply supplies energy force electrons flow nonspontaneous direction **electrolysis** done solutions contain enough ions current flow solution contains material like **electrolysis** molten sodium chloride simple matter determine oxidized reduced complicated systems like **electrolysis** aqueous sodium chloride species oxidized reduced standard reduction potentials used determine likely oxidation half reaction largest positive standard reduction potential reduction half reaction smallest least positive standard reduction potential sometimes unexpected half reactions occur overpotential overpotential difference theoretical half reaction reduction potential actual voltage required present applied potential must increased making possible different reaction occur electrolytic cell total charge passes electrolytic cell expressed current multiplied time moles electrons multiplied faraday constant relationships used determine things like amount material used generated **electrolysis** long reaction must proceed value current required,"('electrolysis', 4)","('What does electrolysis done solutions contain?', 'electrolysis [TGT] done solutions contain enough ions current flow solution contains material like [TGT] electrolysis [TGT] molten sodium chloride simple matter determine oxidized reduced complicated systems like [TGT] electrolysis [TGT] aqueous sodium chloride species oxidized reduced standard reduction potentials used determine likely oxidation half reaction largest positive standard reduction potential reduction half reaction smallest least positive standard reduction potential sometimes unexpected half reactions occur overpotential overpotential difference theoretical half reaction reduction potential actual voltage required present applied potential must increased making possible different reaction occur electrolytic cell total charge passes electrolytic cell expressed current multiplied time moles electrons multiplied faraday constant relationships used determine things like amount material used generated [TGT] electrolysis', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does electrolysis done solutions contain?,electrolysis  done solutions contain enough ions current flow solution contains material like  electrolysis  molten sodium chloride simple matter determine oxidized reduced complicated systems like  electrolysis  aqueous sodium chloride species oxidized reduced standard reduction potentials used determine likely oxidation half reaction largest positive standard reduction potential reduction half reaction smallest least positive standard reduction potential sometimes unexpected half reactions occur overpotential overpotential difference theoretical half reaction reduction potential actual voltage required present applied potential must increased making possible different reaction occur electrolytic cell total charge passes electrolytic cell expressed current multiplied time moles electrons multiplied faraday constant relationships used determine things like amount material used generated  electrolysis
127,"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",amniotic fluid,large arteries,white blood cells,tiny blood vessels,developing changes taking place uterus develops thick **lining** full tiny blood vessels **lining** prepares uterus receive fertilized fertilization actually takes place,"('lining', 2)","('What prepares uterus for fertilized fertilization?', 'lining [TGT] full tiny blood vessels [TGT] lining', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What prepares uterus for fertilized fertilization?,lining  full tiny blood vessels  lining
128,The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,peripheral tube,cell tube,occular tube,neural tube,**called** growth factors signal cells edge ectoderm become epidermis cells remaining cells center form neural plate signaling growth factors disrupted entire ectoderm would differentiate neural tissue neural plate undergoes series cell movements rolls forms tube **called** neural tube illustrated figure development neural tube give rise brain spinal cord,"('called', 2)","('What is the term for growth factors signal cells?', 'called [TGT] growth factors signal cells edge ectoderm become epidermis cells remaining cells center form neural plate signaling growth factors disrupted entire ectoderm would differentiate neural tissue neural plate undergoes series cell movements rolls forms tube [TGT] called', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the term for growth factors signal cells?,called  growth factors signal cells edge ectoderm become epidermis cells remaining cells center form neural plate signaling growth factors disrupted entire ectoderm would differentiate neural tissue neural plate undergoes series cell movements rolls forms tube  called
129,"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",catalytic,hydrophylic,saturated,hydrophobic,small nonpolar molecules easily **diffuse** across cell membrane however hydrophobic nature lipids make cell membranes polar molecules water ions cannot instead **diffuse** across membrane transport proteins transport protein completely spans membrane allows certain molecules ions **diffuse** across membrane channel proteins gated channel proteins carrier proteins three types transport proteins involved facilitated diffusion,"('diffuse', 3)","('What can polar molecules water ions not do?', 'diffuse [TGT] across cell membrane however hydrophobic nature lipids make cell membranes polar molecules water ions cannot instead [TGT] diffuse [TGT] across membrane transport proteins transport protein completely spans membrane allows certain molecules ions [TGT] diffuse', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What can polar molecules water ions not do?,diffuse  across cell membrane however hydrophobic nature lipids make cell membranes polar molecules water ions cannot instead  diffuse  across membrane transport proteins transport protein completely spans membrane allows certain molecules ions  diffuse
130,In what way do all vertebrates reproduce?,biologically,mitosis,asexually,sexually,vertebrates reproduce sexually **almost** separate male female sexes aquatic species generally external fertilization whereas terrestrial species usually internal fertilization vertebrates three reproductive strategies known ovipary ovovivipary vivipary,"('almost', 1)","('How much do vertebrates reproduce sexually separate male female sexes?', 'almost', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How much do vertebrates reproduce sexually separate male female sexes?,almost
131,"First, high temperature denatures proteins and does what to cells?",exposes them,finds them,develops them,kills them,,none,,,
132,What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,organism,atom,proteins,cell,cell **membrane** essentially mixture phospholipids form phospholipid bilayer definition cell collection molecules surrounded phospholipid bilayer capable reproducing simplest cells bacteria consist single compartment surrounded single **membrane** animal plant cells much complex however contain many different kinds compartments surrounded **membrane** able carry specialized tasks,"('membrane', 3)","('What is the membrane of cell membrane?', 'membrane [TGT] essentially mixture phospholipids form phospholipid bilayer definition cell collection molecules surrounded phospholipid bilayer capable reproducing simplest cells bacteria consist single compartment surrounded single [TGT] membrane [TGT] animal plant cells much complex however contain many different kinds compartments surrounded [TGT] membrane', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the membrane of cell membrane?,membrane  essentially mixture phospholipids form phospholipid bilayer definition cell collection molecules surrounded phospholipid bilayer capable reproducing simplest cells bacteria consist single compartment surrounded single  membrane  animal plant cells much complex however contain many different kinds compartments surrounded  membrane
133,"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",consciousness,hypothesis,hibernation,homeostasis,role feedback loops contribution feedback loops homeostasis briefly reviewed positive feedback loops characterized release additional hormone response original hormone release release oxytocin childbirth positive feedback loop initial release oxytocin begins signal uterine muscles contract pushes fetus toward cervix causing stretch turn signals pituitary gland release oxytocin causing labor contractions intensify release oxytocin decreases birth child common method hormone regulation negative feedback loop negative feedback characterized inhibition secretion hormone response adequate levels hormone allows blood levels hormone regulated within narrow range example negative feedback loop release **glucocorticoid** hormones adrenal glands directed hypothalamus pituitary gland **glucocorticoid** concentrations blood rise hypothalamus pituitary gland reduce signaling adrenal glands prevent additional **glucocorticoid** secretion figure,"('glucocorticoid', 3)","('What hormones are directed by the hypothalamus pituitary gland?', 'glucocorticoid [TGT] hormones adrenal glands directed hypothalamus pituitary gland [TGT] glucocorticoid [TGT] concentrations blood rise hypothalamus pituitary gland reduce signaling adrenal glands prevent additional [TGT] glucocorticoid', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What hormones are directed by the hypothalamus pituitary gland?,glucocorticoid  hormones adrenal glands directed hypothalamus pituitary gland  glucocorticoid  concentrations blood rise hypothalamus pituitary gland reduce signaling adrenal glands prevent additional  glucocorticoid
134,"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",skin tissue,nucleus tissue,intestine tissue,connective tissue,connective tissue fibers ground substance three main types fibers secreted fibroblasts **collagen** fibers elastic fibers reticular fibers **collagen** fiber made fibrous protein subunits linked together form long straight fiber **collagen** fibers flexible great tensile strength resist stretching give ligaments tendons characteristic resilience strength fibers hold connective tissues together even movement body elastic fiber contains protein elastin along lesser amounts proteins glycoproteins main property elastin stretched compressed return original shape elastic fibers prominent elastic tissues found skin elastic ligaments vertebral column reticular fiber also formed protein subunits **collagen** fibers however fibers remain narrow arrayed branching network found throughout body abundant reticular tissue soft organs liver spleen anchor provide structural support parenchyma functional cells blood vessels nerves organ fiber types embedded ground substance secreted fibroblasts ground substance made polysaccharides specifically hyaluronic acid proteins combine form proteoglycan protein core,"('collagen', 4)","('What type of fibers are secreted fibroblasts?', 'collagen [TGT] fibers elastic fibers reticular fibers [TGT] collagen [TGT] fiber made fibrous protein subunits linked together form long straight fiber [TGT] collagen [TGT] fibers flexible great tensile strength resist stretching give ligaments tendons characteristic resilience strength fibers hold connective tissues together even movement body elastic fiber contains protein elastin along lesser amounts proteins glycoproteins main property elastin stretched compressed return original shape elastic fibers prominent elastic tissues found skin elastic ligaments vertebral column reticular fiber also formed protein subunits [TGT] collagen', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of fibers are secreted fibroblasts?,collagen  fibers elastic fibers reticular fibers  collagen  fiber made fibrous protein subunits linked together form long straight fiber  collagen  fibers flexible great tensile strength resist stretching give ligaments tendons characteristic resilience strength fibers hold connective tissues together even movement body elastic fiber contains protein elastin along lesser amounts proteins glycoproteins main property elastin stretched compressed return original shape elastic fibers prominent elastic tissues found skin elastic ligaments vertebral column reticular fiber also formed protein subunits  collagen
